year,oil_price,int_rate,une_rate,m_supply,inflation
1990,24.527,8.1,5.6,3222.2,5.398
1991,21.493,5.69,6.9,3342.1,4.235
1992,20.576,3.52,7.5,3404.6,3.029
1993,18.432,3.02,6.9,3439.8,2.952
1994,17.196,4.2,6.1,3483.4,2.607
1995,18.429,5.84,5.6,3555.6,2.805
1996,22.119,5.3,5.4,3729,2.931
1997,20.608,5.46,4.9,3925.7,2.338
1998,14.442,5.35,4.5,4206.5,1.552
1999,19.345,4.97,4.2,4517.3,2.188
2000,30.379,6.24,4,4790.2,3.377
2001,25.983,3.89,4.7,5203.7,2.826
2002,26.185,1.67,5.8,5591.3,1.586
2003,31.075,1.13,6,5981.4,2.270
2004,41.506,1.35,5.5,6266.8,2.677
2005,56.637,3.21,5.1,6535.1,3.393
2006,66.055,4.96,4.6,6877.4,3.226
2007,72.341,5.02,4.6,7298.1,2.853
2008,99.672,1.93,5.8,7790.8,3.839
2009,61.950,0.16,9.3,8416,-0.356
2010,79.476,0.18,9.6,8626.1,1.640
